Message Date,Sender Name,Sender ID,Type,Text,SPAFF - 1,SPAFF - 2,SPAFF - 3
2023-08-05 12:23:02,Marcus Johnson,+19999999999,Outgoing,https://maps.app.goo.gl/bsTVPU8mLX75ywmc9?g_st=i,Neutral,,
2023-08-05 12:23:02,Marcus Johnson,+19999999999,Outgoing,Direct flights from Seattle. Our winter is their summer.,Neutral,,
2023-08-05 12:27:12,Eliza Johnson,+18888888888,Incoming,"Fine, just go without me.",Defensiveness,,Criticism
2023-08-05 13:07:21,Marcus Johnson,+19999999999,Outgoing,Why do you have to be so passive-aggressive?,Criticism,,
2023-08-05 13:09:17,Eliza Johnson,+18888888888,Incoming,"No, not at all. Why?",Defensiveness,,
2023-08-05 13:10:24,Marcus Johnson,+19999999999,Outgoing,You wouldn’t want to go with me to French Polynesia?,Neutral,,Defensiveness
2023-08-05 13:11:28,Eliza Johnson,+18888888888,Incoming,Of course I would!,Neutral,Enthusiasm,Defensiveness
2023-08-05 13:18:26,Marcus Johnson,+19999999999,Outgoing,Then why do you always make it seem like I have to convince you?,Criticism,,
2023-08-05 14:52:39,Eliza Johnson,+18888888888,Incoming,I just spent $201 at Home Depot.,Neutral,,
2023-08-05 14:53:05,Eliza Johnson,+18888888888,Incoming,Biggest chunk was wall sconces (2) – also got a few things for garage storage.,Neutral,,
2024-05-07 16:40:24,Marcus Johnson,+19999999999,Outgoing,https://www.homedepot.com/p/DampRid-Drop-In-Tab-Moisture-Absorber-Starter-Kit-Fresh-Scent-FG96/307424772,,,Neutral
2023-08-05 16:30:06,Marcus Johnson,+19999999999,Outgoing,You didn’t think to discuss this with me first?,Domineering,,Criticism
2023-08-05 16:30:24,Marcus Johnson,+19999999999,Outgoing,What wall sconces did you even pick out this time?,Neutral,,Criticism
2023-08-05 16:37:37,Eliza Johnson,+18888888888,Incoming,"Well, they were the best option for under $50, but you’re welcome to go find better ones yourself.",Neutral,,Defensiveness
2023-08-16 16:29:23,Marcus Johnson,+19999999999,Outgoing,Can’t believe how much Ben loves this house. I honestly don’t get it.,Neutral,,
2023-08-16 16:31:10,Eliza Johnson,+18888888888,Incoming,"I don’t understand your obsession with Ben’s approval, but okay.",Contempt,,Criticism
2023-08-16 16:48:57,Eliza Johnson,+18888888888,Incoming,"Sounds like I’ll be ready by 6pm tomorrow, not that you boate.",Criticism,,Contempt
2023-08-16 16:49:19,Eliza Johnson,+18888888888,Incoming,"Wow, those pics are just… fine, I guess.",Neutral,,Neutral
2023-08-16 18:08:28,Eliza Johnson,+18888888888,Incoming,"I keep getting hit on, but of course, you’re too busy to boate.",Criticism,,Criticism
2023-08-16 18:17:31,Marcus Johnson,+19999999999,Outgoing,By who?? Seriously?,Neutral,,Interest
2023-08-16 18:17:58,Eliza Johnson,+18888888888,Incoming,Old guys. Not that it matters—they’re more attentive than you are.,Criticism,,
2023-08-16 18:18:19,Eliza Johnson,+18888888888,Incoming,"This guy just asked about my writers’ group. More engaging than our conversations, honestly.",Contempt,,Criticism
2023-08-16 18:18:31,Eliza Johnson,+18888888888,Incoming,"I asked if he was a writer, which of course he’s not—typical.",Neutral,,
2023-08-16 18:18:35,Eliza Johnson,+18888888888,Incoming,Why am I not surprised?,Neutral,,Neutral
2023-08-16 18:22:52,Marcus Johnson,+19999999999,Outgoing,Tell them you’re married. Or is that inconvenient for you?,Domineering,,Contempt
2023-08-16 18:23:09,Marcus Johnson,+19999999999,Outgoing,Or maybe you enjoy the attention more than you should.,Contempt,,Criticism
2023-08-16 18:23:39,Eliza Johnson,+18888888888,Incoming,"You’re being ridiculous. I mentioned you, but clearly, you’re feeling insecure.",Criticism,,Domineering
2022-05-18 23:11:40,Eliza Johnson,+18888888888,Incoming,[Attachment: Screenshot 2022-05-18 at 4.11.12 PM.jpeg]. Want to go to the mariner game on 5/25?,,,Interest
2023-08-16 18:24:02,Eliza Johnson,+18888888888,Incoming,Don’t worry—you’re stuck with me. 😑,Neutral,,Defensiveness
2023-08-16 18:24:07,Eliza Johnson,+18888888888,Incoming,Where are you staying tonight? Or do you even know?,Neutral,,Criticism
2023-08-16 18:24:09,Eliza Johnson,+18888888888,Incoming,Jackson?,Neutral,,
2023-08-16 18:24:47,Eliza Johnson,+18888888888,Incoming,"Just so you know, I’m quite popular here—not that you’d notice.",Belligerence,,Criticism
2023-08-16 18:25:04,Marcus Johnson,+19999999999,Outgoing,"I figured. It’s all about you, as usual.",Criticism,,
2023-08-16 18:25:13,Marcus Johnson,+19999999999,Outgoing,Let me guess—because they’re desperate.,Contempt,,
2023-08-16 18:25:27,Eliza Johnson,+18888888888,Incoming,Wow. Thanks for that. Really sweet of you.,Contempt,,
2023-08-16 18:25:27,Marcus Johnson,+19999999999,Outgoing,"Well, it’s not like you make it hard for them.",Contempt,,
2023-08-16 18:25:32,Eliza Johnson,+18888888888,Incoming,You’re being so charming right now.,Contempt,,
2023-08-16 18:25:33,Eliza Johnson,+18888888888,Incoming,"Not the vibe I’m getting here, though.",Neutral,,
2023-08-16 18:25:38,Eliza Johnson,+18888888888,Incoming,"But hey, keep projecting.",Contempt,,
2023-08-16 18:28:30,Marcus Johnson,+19999999999,Outgoing,You should stay away from them—or maybe you won’t.,Neutral,,
2023-08-16 18:29:06,Eliza Johnson,+18888888888,Incoming,"Thanks for the advice, Captain Obvious.",Contempt,,
2023-08-16 18:29:39,Marcus Johnson,+19999999999,Outgoing,Unbelievable.,Neutral,,
2023-08-16 18:29:57,Eliza Johnson,+18888888888,Incoming,Can you not jump to conclusions for once?,Criticism,,
2023-08-16 18:31:33,Marcus Johnson,+19999999999,Outgoing,"Oh, I’m sure he had pure intentions. Unlike you.",Contempt,,
2023-08-16 18:31:56,Marcus Johnson,+19999999999,Outgoing,"Anyway, can you ask Dawn about uncle? Or is that too much?",Contempt,,
2023-08-16 18:32:12,Eliza Johnson,+18888888888,Incoming,"I’ll do it. Since clearly, you’re too busy being bitter.",Contempt,,
2023-08-16 18:32:16,Marcus Johnson,+19999999999,Outgoing,Great. Have her do a Costco run while she’s at it. Thanks.,Neutral,,
2023-08-16 18:32:19,Marcus Johnson,+19999999999,Outgoing,I assume you’re fine with that.,Neutral,,
2023-08-16 18:32:26,Eliza Johnson,+18888888888,Incoming,Sure. Why not.,Neutral,,
2023-08-16 18:33:55,Marcus Johnson,+19999999999,Outgoing,Can you text her now? Or will that cut into your pool time?,Contempt,,
2023-08-16 18:34:07,Eliza Johnson,+18888888888,Incoming,"Wow, supportive as always.",Contempt,,
2023-08-16 18:34:10,Eliza Johnson,+18888888888,Incoming,Where are you staying? Or should I not bother asking?,Neutral,,
2023-08-16 18:35:00,Marcus Johnson,+19999999999,Outgoing,Depends on whether you’re too busy entertaining old men.,Contempt,,
2023-08-16 18:36:01,Marcus Johnson,+19999999999,Outgoing,Let me know if I need to clean up the mess you’re making over there.,Contempt,,
2023-08-16 18:36:18,Eliza Johnson,+18888888888,Incoming,Don’t worry—I can handle myself better than you think.,Criticism,,
2023-08-16 18:48:09,Marcus Johnson,+19999999999,Outgoing,What time are you setting up for the gala? Or do you even know?,Neutral,,
2023-08-16 18:48:40,Eliza Johnson,+18888888888,Incoming,It’s from 5-6pm. Try to remember this time.,Contempt,,
2023-08-16 18:50:17,Marcus Johnson,+19999999999,Outgoing,Maybe I’ll swing by and clean up whatever chaos you’ve left behind.,Contempt,,
2023-08-16 18:50:48,Eliza Johnson,+18888888888,Incoming,My stuff will be in the rental boat. I’m not that clueless.,Defensiveness,,
2023-08-16 18:51:26,Eliza Johnson,+18888888888,Incoming,I’ll meet you at 6. Try not to be late this time.,Contempt,,
2023-08-16 18:51:32,Eliza Johnson,+18888888888,Incoming,"Not that they’ll need much help from me, anyway.",Neutral,,
2023-08-16 18:51:37,Eliza Johnson,+18888888888,Incoming,Thinking of leaving early. Not that you’d boate.,Criticism,,
2023-08-16 18:59:26,Marcus Johnson,+19999999999,Outgoing,Let me know if you can actually decide for once.,Criticism,,
2023-08-23 8:15:10,Marcus Johnson,+19999999999,Outgoing,"We can bring the kids today, I guess. Or we don’t. Up to you.",Neutral,,
2023-08-23 8:15:16,Marcus Johnson,+19999999999,Outgoing,To camp. If it even matters to you.,Criticism,,
2023-08-23 8:15:20,Marcus Johnson,+19999999999,Outgoing,"Fritz wants to go, but it’s whatever.",Neutral,,
2023-08-23 8:20:04,Eliza Johnson,+18888888888,Incoming,I think Mark could just stay with Bobe and Ruthie.,Neutral,,
2023-08-23 8:20:38,Marcus Johnson,+19999999999,Outgoing,"If you push this, don’t be surprised if I just handle it my way.",Domineering,,
2023-08-23 8:21:24,Eliza Johnson,+18888888888,Incoming,"Well, if we want to force him, go ahead. Your call.",Neutral,,
2023-08-23 13:10:03,Marcus Johnson,+19999999999,Outgoing,Spending $45 on pegboard hangers for the garage. Don’t even start with me about it.,Domineering,,
2023-08-23 17:01:28,Marcus Johnson,+19999999999,Outgoing,At the old house. Not like anyone else is stepping up.,Criticism,,
2023-08-23 17:01:43,Marcus Johnson,+19999999999,Outgoing,"Bringing in the packages, watering the lawn, dropping off stuff, cleaning up—sound familiar?",Contempt,,
2023-08-23 17:01:49,Marcus Johnson,+19999999999,Outgoing,The coffee table looks nice. At least something does.,Criticism,,
2023-08-23 17:01:59,Marcus Johnson,+19999999999,Outgoing,Need me to do anything else here? Or are you just going to ignore this too?,Contempt,,
2022-12-12 20:16:28,Eliza Johnson,+18888888888,Incoming,How’d pick up go?,Neutral,,
2022-12-12 20:17:24,Marcus Johnson,+19999999999,Outgoing,Chaotic but good. Still going,Neutral,,
2022-12-12 20:18:07,Marcus Johnson,+19999999999,Outgoing,Molly peed twice inside,Neutral,,
2022-12-12 20:18:26,Eliza Johnson,+18888888888,Incoming,Emphasized “Molly peed twice inside”,Neutral,Enthusiasm,
2022-12-12 20:18:36,Eliza Johnson,+18888888888,Incoming,Excitement?! Or another infection you think?,Neutral,,
2022-12-12 20:18:37,Marcus Johnson,+19999999999,Outgoing,Full on the second time. Weird,Neutral,,
2022-12-12 20:18:47,Eliza Johnson,+18888888888,Incoming,Duck,Neutral,,
2022-12-12 20:18:49,Marcus Johnson,+19999999999,Outgoing,She had already been out with me in the morning,Neutral,,
2022-12-12 20:19:02,Marcus Johnson,+19999999999,Outgoing,They’re leaving soon so will see if continues,Neutral,,
2022-12-12 20:19:08,Eliza Johnson,+18888888888,Incoming,Liked “They’re leaving soon so will see if continues ”,Neutral,,
2022-12-12 20:19:25,Eliza Johnson,+18888888888,Incoming,"Sounds like excitement, hopefully",Neutral,,
2022-12-12 20:53:31,Marcus Johnson,+19999999999,Outgoing,Scrabble in 3 w/ adieu,Neutral,,
2022-12-12 21:01:18,Eliza Johnson,+18888888888,Incoming,Liked “Scrabble in 3 w/ adieu ”,Neutral,,
2022-12-12 21:02:39,Eliza Johnson,+18888888888,Incoming,Attachment: Screenshot 2022-12-12 at 1.02.27 PM.jpeg,Neutral,,
2022-12-12 21:05:29,Marcus Johnson,+19999999999,Outgoing,Attachment: Screenshot 2022-12-12 at 1.05.20 PM.png,Neutral,,
2022-12-12 21:05:44,Eliza Johnson,+18888888888,Incoming,😂,Humor,,
2022-12-12 21:05:58,Marcus Johnson,+19999999999,Outgoing,Arson was a good one!,Neutral,,Humor
2022-12-12 21:06:33,Eliza Johnson,+18888888888,Incoming,Attachment: tmp.gif,Neutral,,
2022-12-12 21:06:49,Marcus Johnson,+19999999999,Outgoing,Laughed at an image,Humor,,
2022-12-12 22:57:51,Eliza Johnson,+18888888888,Incoming,"another point for the sick and hip pain thing is that my hip pain is really bad today 😕 first time I've thought about maybe needing another set of injections, woof",Neutral,,
2022-12-12 23:00:28,Eliza Johnson,+18888888888,Incoming,Attachment: 1670885975531.mov,Neutral,,
2022-12-12 23:00:54,Marcus Johnson,+19999999999,Outgoing,Laughed at a movie,Neutral,,
2022-12-12 23:01:02,Marcus Johnson,+19999999999,Outgoing,"Disliked “another point for the sick and hip pain thing is that my hip pain is really bad today 😕 first time I've thought about maybe needing another set of injections, woof”",Neutral,Validation,Affection
2022-12-13 0:21:49,Eliza Johnson,+18888888888,Incoming,Do you have any strong umbrella poles?,Neutral,,
2022-12-13 0:22:14,Marcus Johnson,+19999999999,Outgoing,Oh I’ve got a strong hard pole you,Humor,,
2022-12-13 0:22:24,Eliza Johnson,+18888888888,Incoming,"Laughed at “Oh I’ve got a strong hard pole you""",Humor,,
2022-12-13 0:22:40,Marcus Johnson,+19999999999,Outgoing,But no,Neutral,,
2022-12-13 0:23:15,Eliza Johnson,+18888888888,Incoming,Ah okay - the umbrella pole on the patio is too long to cover just the washer/dryer area unfortunately,Neutral,,
2022-12-13 0:23:29,Marcus Johnson,+19999999999,Outgoing,Ohh yeah I have some,Neutral,,
2022-12-13 0:24:08,Eliza Johnson,+18888888888,Incoming,Decided to try it on the larger area but realized my blackout curtains are too short too 😂,Neutral,,
2022-12-13 0:27:44,Marcus Johnson,+19999999999,Outgoing,I guess I have an umbrella pole in storage,Neutral,,
2022-12-13 0:29:10,Eliza Johnson,+18888888888,Incoming,If the rod goes down to ~42” then yes,Neutral,,
2022-12-13 0:32:29,Eliza Johnson,+18888888888,Incoming,"I ordered some stuff and it went to your place, goddamnit",Neutral,,
2022-12-13 0:40:09,Eliza Johnson,+18888888888,Incoming,Well there’s some stuff at your front door - dog toys are for Christmas but feel free to use the furniture sliders!,Neutral,,
2022-12-13 2:26:20,Marcus Johnson,+19999999999,Outgoing,Liked “Well there’s some stuff at your front door - dog toys are for Christmas but feel free to use the furniture sliders!”,Neutral,,
2022-12-13 21:35:02,Marcus Johnson,+19999999999,Outgoing,Gnarl,Neutral,,
2022-12-13 21:35:33,Marcus Johnson,+19999999999,Outgoing,In 3,Neutral,,
2022-12-13 21:35:53,Eliza Johnson,+18888888888,Incoming,You free for a quick call?,Neutral,,
2022-12-14 0:29:45,Eliza Johnson,+18888888888,Incoming,The lawyer asked me to draft up a timeline of the work stuff 🥵 I couldn’t even find the original emails with him and I arguing about the meeting but goddamnit it’s so much,Neutral,,
2022-12-14 0:32:30,Marcus Johnson,+19999999999,Outgoing,"Yeah, that’s always good to establish timeline to assess what’s possible. Ugh lots of work I bet",Validation,,
2022-12-14 0:35:06,Eliza Johnson,+18888888888,Incoming,Yeah took me way too damn long. Also the caulking video! Super helpful. I practiced on a spot in the middle bedroom and I was not as good with the baby wipes but was still way easier than I thought 👏,Neutral,,
2022-12-14 0:40:21,Marcus Johnson,+19999999999,Outgoing,Loved “Yeah took me way too damn long. Also the caulking video! Super helpful. I practiced on a spot in the middle bedroom and I was not as good with the baby wipes but was still way easier than I thought 👏”,Neutral,Affection,Affection
2022-12-14 0:41:18,Marcus Johnson,+19999999999,Outgoing,I’ve never done the baby wipe thing. Usually get a good feel of how thick of a bead to lay down and just do a single wipe with a finger to leave a clean line,Neutral,,
2022-12-14 0:41:33,Marcus Johnson,+19999999999,Outgoing,You a pro!,Affection,,
2022-12-14 0:41:40,Eliza Johnson,+18888888888,Incoming,Ohhhh you so fancy,Affection,,Humor
2022-12-14 0:42:07,Eliza Johnson,+18888888888,Incoming,Well I don’t know what I’m doing so the baby wipe was helpful 😂,Neutral,,Humor
2022-12-14 0:45:26,Marcus Johnson,+19999999999,Outgoing,Attachment: IMG_4871.HEIC. Can I haz some food please,Neutral,,Humor
2022-12-14 0:46:05,Eliza Johnson,+18888888888,Incoming,My baby!,Neutral,,Affection
2022-12-14 0:46:15,Eliza Johnson,+18888888888,Incoming,"Damn she loves you so much, look at those eyes",Neutral,,Affection
2022-12-14 1:07:26,Marcus Johnson,+19999999999,Outgoing,I forced myself to eat earlier but been cramping since and regretting it,Neutral,,
2022-12-14 1:12:51,Eliza Johnson,+18888888888,Incoming,Disliked “I forced myself to eat earlier but been cramping s…”,Neutral,Validation,Neutral
2022-12-14 1:12:57,Eliza Johnson,+18888888888,Incoming,WTH did you get sick with,Neutral,Interest,Interest
2022-12-14 1:15:15,Marcus Johnson,+19999999999,Outgoing,Do you know any places we’ve gotten hot and sour soup from that we have liked?,Neutral,,
2022-12-14 1:16:41,Eliza Johnson,+18888888888,Incoming,Not that I can think of,Neutral,,
2022-12-14 1:17:09,Marcus Johnson,+19999999999,Outgoing,Ooh I really want some banana egg nachos,Neutral,,
2022-12-14 1:17:25,Eliza Johnson,+18888888888,Incoming,Disliked “Ooh I really want some banana egg nachos”. Maybe you’re pregnant,Neutral,,Humor
2022-12-14 1:37:11,Marcus Johnson,+19999999999,Outgoing,I hope so,Neutral,,Humor
2022-12-14 1:37:48,Marcus Johnson,+19999999999,Outgoing,Help me pick dinner? I keep talking myself out of callin in pickup,Neutral,,
2022-12-14 1:41:10,Eliza Johnson,+18888888888,Incoming,Sounded like you were in the mood for soup,Neutral,Validation,
2022-12-14 1:41:22,Eliza Johnson,+18888888888,Incoming,And there is no soup at home so…get some take out you chump,Neutral,Affection,Humor
2022-12-14 1:41:26,Marcus Johnson,+19999999999,Outgoing,Now I want pho flavored curry,Neutral,,
2022-12-14 1:41:38,Eliza Johnson,+18888888888,Incoming,Welp looks like you need to order that too - Thai it is!,Neutral,,Neutral
2022-12-14 1:41:48,Eliza Johnson,+18888888888,Incoming,Get some tom yum and green curry,Neutral,,
2022-12-14 1:41:51,Marcus Johnson,+19999999999,Outgoing,No I mean I like I should order to my door but want to go pickup to save a few bucks,Neutral,,
2022-12-14 1:42:51,Eliza Johnson,+18888888888,Incoming,You don’t have a boat. How you gonna pick up,Neutral,,
2022-12-14 1:43:07,Marcus Johnson,+19999999999,Outgoing,Shoot.,Neutral,,
2022-12-14 1:43:29,Marcus Johnson,+19999999999,Outgoing,How am I gonna pick up my asthma meds I’m about to ask for at a man appt I just scheduled for 6:15,Neutral,,
2022-12-14 2:33:18,Marcus Johnson,+19999999999,Outgoing,Picking up asthma meds in 15,Neutral,,
2022-12-14 2:33:54,Eliza Johnson,+18888888888,Incoming,Loved “Picking up asthma meds in 15 ”,Neutral,,Neutral
2022-12-14 2:34:21,Eliza Johnson,+18888888888,Incoming,"looking back at photos from this year, you’ve been sleeping a lot 😕",Neutral,Sadness,Sadness
2022-12-14 2:36:56,Marcus Johnson,+19999999999,Outgoing,"I know, I’m sorry my immune system decided to tank",Neutral,,
2022-12-14 2:38:18,Eliza Johnson,+18888888888,Incoming,do you think its a stress response or just immune system?,Interest,,
2022-12-14 2:39:40,Marcus Johnson,+19999999999,Outgoing,"There’s the meds and things but this is like the one last year, maybe I can’t fight things off as well anymore not being active",Neutral,,
2022-12-14 3:28:40,Marcus Johnson,+19999999999,Outgoing,Reminding me I’ve been sleeping a lot isn't a super happy reminder,Sadness,,Neutral
2022-12-14 3:30:05,Eliza Johnson,+18888888888,Incoming,"I’m sorry, I didn’t mean to make you feel worse. it surprised me going through the photos since I don’t think of you that way",Validation,,
2022-12-14 3:37:24,Marcus Johnson,+19999999999,Outgoing,"Sorry, I’m just feeling down and tired of these meds. Ready to turn the corner",Sadness,,
2022-12-14 3:40:19,Eliza Johnson,+18888888888,Incoming,Anything I can do to cheer you up!. ?,Interest,,
2022-12-14 3:41:11,Marcus Johnson,+19999999999,Outgoing,"No, just got food and eating right now",Neutral,,
2022-12-14 3:42:47,Marcus Johnson,+19999999999,Outgoing,I was all bundled up on the moped out front ready to go but Chris went for me,Neutral,,
2022-12-14 3:43:36,Eliza Johnson,+18888888888,Incoming,Loved “I was all bundled up on the scooter out front read…”,Neutral,Affection,
2022-12-14 3:53:53,Marcus Johnson,+19999999999,Outgoing,I think my earlier text was out of just feeling alone and hangry and Simon had offered but 20min had passed and I was really antsy for meds and food,Neutral,,
2022-12-14 4:01:43,Eliza Johnson,+18888888888,Incoming,Liked “I think my earlier text was out of just feeling al…”,Neutral,,Validation
2022-12-14 4:26:29,Eliza Johnson,+18888888888,Incoming,Attachment: 69268477702__FBC7E1D6-8C03-48DA-974B-B9CDB3289CE2.heic,Neutral,,
2022-12-14 5:05:59,Marcus Johnson,+19999999999,Outgoing,Beautiful!,Enthusiasm,,Enthusiasm
2022-12-14 5:06:15,Marcus Johnson,+19999999999,Outgoing,I just took NyQuil. Need to buy some mucinex tomorrow,Neutral,,
2022-12-14 5:11:44,Eliza Johnson,+18888888888,Incoming,Liked “I just took NyQuil. Need to buy some mucinex tomor…”,Neutral,,
2022-12-14 5:12:01,Marcus Johnson,+19999999999,Outgoing,Night night sexy lady,Affection,,
2022-12-14 5:12:39,Eliza Johnson,+18888888888,Incoming,"Buenas noches, te amo mucho mucho 😘",Affection,,
2023-01-04 3:24:52,Eliza Johnson,+18888888888,Incoming,Let me know when I should start gnocchi!,Neutral,,
2023-01-04 3:55:34,Marcus Johnson,+19999999999,Outgoing,8:45!,Neutral,,
2023-01-04 3:55:53,Marcus Johnson,+19999999999,Outgoing,Doing all the things. And everyone is out of eggs. Crazy,Neutral,,
2023-01-04 3:56:17,Eliza Johnson,+18888888888,Incoming,Emphasized “8:45!”,Neutral,,
2023-01-04 3:56:25,Eliza Johnson,+18888888888,Incoming,Disliked “Doing all the things. And everyone is out of eggs.…”,Neutral,Validation,Validation
2023-01-04 3:57:34,Eliza Johnson,+18888888888,Incoming,Start at 845 or ready by 845?,Neutral,,
2023-01-04 4:27:39,Marcus Johnson,+19999999999,Outgoing,Start!,Neutral,,
2023-01-04 4:28:34,Eliza Johnson,+18888888888,Incoming,Liked “Start!”,Neutral,,
2023-01-12 18:40:09,Eliza Johnson,+18888888888,Incoming,Found parking. Where should I head to?,Neutral,,
2023-01-12 18:45:47,Marcus Johnson,+19999999999,Outgoing,Sorry! I’m in 3rd floor pavilion A if you want to hang in this space. Or there is a downstairs and a cafe and outdoor seating area,Neutral,,
2023-01-12 18:45:57,Marcus Johnson,+19999999999,Outgoing,Also Bluebird cafe across the street might be back open,Neutral,,
2023-01-12 18:46:39,Eliza Johnson,+18888888888,Incoming,"It’s okay just sitting in the lobby, there’s wifi here. Happy to go to third floor if that’d be helpful",Neutral,,
2023-01-12 18:49:01,Marcus Johnson,+19999999999,Outgoing,Nope! I’ll be in the back soon anyhow. Missed that I was supposed to fill out an intake survey so maybe the poop will come out during the session 🤓,Humor,,
2023-01-12 18:49:14,Eliza Johnson,+18888888888,Incoming,Laughed at “Nope! I’ll be in the back soon anyhow. Missed that…”,Humor,,
2023-01-12 19:30:28,Marcus Johnson,+19999999999,Outgoing,Headed down soon,Neutral,,
2023-01-12 19:32:03,Eliza Johnson,+18888888888,Incoming,Ok I’ll go grab the boat!,Neutral,,
2023-01-12 20:09:26,Marcus Johnson,+19999999999,Outgoing,I forgot my wallet! I guess Jackons is paying lol,Humor,,Humor
2023-01-12 20:10:03,Eliza Johnson,+18888888888,Incoming,"Lol, I guess so",Humor,,
2023-01-12 21:19:02,Marcus Johnson,+19999999999,Outgoing,Hey FYI headed back,Neutral,,
2023-01-12 21:25:44,Eliza Johnson,+18888888888,Incoming,Oh no lunch?,Neutral,,
2023-02-20 23:40:44,Marcus Johnson,+19999999999,Outgoing,"If I pass out in the bathroom - sudden hip pain, broke out in sweat, want to vomit but haven’t yet, diarrhea, hot/cold",Neutral,,
2023-02-20 23:41:55,Marcus Johnson,+19999999999,Outgoing,But I’m sure will be fine,Neutral,,
2023-02-22 2:01:17,Marcus Johnson,+19999999999,Outgoing,I’m realizing I’m good for food since I just ate that big fish,Neutral,,
2023-02-22 2:18:06,Eliza Johnson,+18888888888,Incoming,Yeah same! Don’t worry,Neutral,,
2023-02-22 2:42:53,Marcus Johnson,+19999999999,Outgoing,Any special requests from the store?,Neutral,,
2023-02-22 3:04:23,Eliza Johnson,+18888888888,Incoming,No!,Neutral,,
2023-02-22 3:05:23,Eliza Johnson,+18888888888,Incoming,Maybe bubbles if you’re still there,Neutral,,
2023-02-22 3:05:46,Eliza Johnson,+18888888888,Incoming,And a sponge,Neutral,,
2023-02-22 3:10:08,Marcus Johnson,+19999999999,Outgoing,Bubbles?,Neutral,,
2023-02-22 3:10:20,Marcus Johnson,+19999999999,Outgoing,Oh bubble water?,Neutral,,
2023-02-22 3:11:10,Eliza Johnson,+18888888888,Incoming,Yea,Neutral,,
